id=lesmiserablest115hugo, name=Livre2Chapitre1, nos=329
id=lesmiserablest110hugo, name=Livre1Chapitre10, nos=219
id=lesmiserablest104hugo, name=Livre1Chapitre4, nos=135
id=lesmiserablest126hugo, name=Livre2Chapitre12, nos=110
id=lesmiserablest108hugo, name=Livre1Chapitre8, nos=94
id=avventurepinocchio02collodi, name=Capitulo 02, nos=90
id=lesmiserablest127hugo, name=Livre2Chapitre13, nos=88
id=lesmiserablest117hugo, name=Livre2Chapitre3, nos=76
id=lesmiserablest120hugo, name=Livre2Chapitre6, nos=75
id=lesmiserablest118hugo, name=Livre2Chapitre4, nos=65
id=andiefreudehokohnerauschenrein, name=An die Freude, nos=62
id=lesmiserablest107hugo, name=Livre1Chapitre7, nos=47
id=lesmiserablest125hugo, name=Livre2Chapitre11, nos=35
id=lesmiserablest109hugo, name=Livre1Chapitre9, nos=33
id=lesmiserablest113hugo, name=Livre1Chapitre13, nos=31
id=avventurepinocchio01collodi, name=Capitulo 01, nos=30
id=elreypicodetordo, name=El Rey Pico de Tordo, nos=28
id=lesmiserablest101hugo, name=Livre1Chapitre1, nos=26
id=mondnachthokohnerauschen, name=Mondnacht, nos=21
id=lesmiserablest123hugo, name=Livre2Chapitre9, nos=20
id=lesmiserablest103hugo, name=Livre1Chapitre3, nos=15
id=lesmiserablest112hugo, name=Livre1Chapitre12, nos=10
id=lesmiserablest119hugo, name=Livre2Chapitre5, nos=10
id=lesmiserablest121hugo, name=Livre2Chapitre7, nos=10
id=lesmiserablest102hugo, name=Livre1Chapitre2, nos=8
id=lesmiserablest106hugo, name=Livre1Chapitre6, nos=8
id=lesmiserablest111hugo, name=Livre1Chapitre11, nos=6
id=lesmiserablest114hugo, name=Livre1Chapitre14, nos=6
id=lesmiserablest124hugo, name=Livre2Chapitre10, nos=4
id=lesmiserablest116hugo, name=Livre2Chapitre2, nos=4
id=lesmiserablest105hugo, name=Livre1Chapitre5, nos=3
id=lesmiserablest122hugo, name=Livre2Chapitre8, nos=3
id=sonnets121130shakespeare, name=Sonnets 121-130, nos=2
id=christroiohnerauschen, name=Christ-Roi, nos=2
id=fables0102lafontainejl, name=Fable 01 02, nos=2
id=fables0111lafontainejl, name=Fable 01 11, nos=2
id=fables0117lafontainejl, name=Fable 01 17, nos=2
id=fables0121lafontainejl, name=Fable 01 21, nos=2
id=dasliedvonderglocke, name=Das Lied von der Glocke, nos=1
id=derpantherrmrge, name=Der Panther, nos=1
id=derzauberlehrlingv2, name=Der Zauberlehrling, nos=1
id=erlkoenig, name=Erlkönig, nos=1
id=sammlunggedichte00603abendrotrk, name=Im Abendrot, nos=1
id=sammlunggedichte00609schwagerchronosrk, name=Kronos, nos=1
id=sammlunggedichte01006prometheusrd, name=Prometheus, nos=1
id=humanrightsungerrobu, name=Menschenrechte, nos=1
